Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;19;08/01/2025;08/01/2025 12:37:52;15/01/2025 11:41:42;;0;13052420;2479960;15532380;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
2;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;20;08/01/2025;08/01/2025 12:42:03;15/01/2025 11:41:42;;0;13052420;2479960;15532380;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
3;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;21;08/01/2025;08/01/2025 12:49:31;15/01/2025 11:41:43;;0;13052420;2479960;15532380;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
4;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;22;08/01/2025;08/01/2025 13:03:37;15/01/2025 11:41:43;;0;13820209;2625840;16446049;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
5;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;23;08/01/2025;08/01/2025 13:12:32;15/01/2025 11:41:43;;0;17275262;3282300;20557562;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
6;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;24;14/01/2025;14/01/2025 13:06:52;16/01/2025 14:22:20;;0;11516841;2188200;13705041;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90564674;;;;;
7;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;25;14/01/2025;14/01/2025 13:11:55;;;0;515000;97850;612850;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
8;33;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;26;14/01/2025;14/01/2025 13:15:52;;;0;12666658;2406665;15073323;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
9;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;27;14/01/2025;14/01/2025 13:19:03;;;0;1395564;265157;1660721;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
10;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;28;14/01/2025;14/01/2025 13:49:42;;;0;381000;72390;453390;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
11;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;29;14/01/2025;14/01/2025 14:02:45;;;0;3235500;614745;3850245;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
12;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;30;14/01/2025;14/01/2025 14:04:30;;;0;859972;163395;1023367;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
13;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;31;15/01/2025;15/01/2025 10:19:54;;;0;12666658;2406665;15073323;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;90564674;;;;;
14;33;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;32;15/01/2025;15/01/2025 13:16:07;;;0;859972;163395;1023367;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;90564674;;;;;
15;61;Del Giro;77969154-3;COMERCIALIZADORA JD RENTAL MIX SPA;2;15/01/2025;15/01/2025 10:15:36;;;0;12666658;2406665;15073323;0;0;0;0;0;-;0;0;0;0;33;26;;;0;;0;0;0;0;0;;;;90564674;;;;;
16;61;Del Giro;79538350-6;CONSTRUCTORA GARDILCIC LTDA;4;15/01/2025;15/01/2025 13:16:57;;;0;859972;163395;1023367;0;0;0;0;0;-;0;0;0;0;33;32;;;0;;0;0;0;0;0;;;;90564674;;;;;
